ADM2_NAME,RP,Is_Urban,Distance_to_River_m,Latitude,Longitude
Ilesha East,1.5,0,12752.93,7.6113053,4.7621063
Ilesha West,1.5,0,7561.62,7.6388128,4.7163994
Illela,1.5,1,4031.6,13.6664957,5.321407
Ilorin East,3.0,0,9034.54,8.5932799,4.7853981
Ilorin South,2.0,0,2034.68,8.4404502,4.6894414
Ilorin West,1.5,1,1212.38,8.4864338,4.5138928
Imeko-Afon,1.5,0,13568.81,7.6689512,2.8602162
Ingawa,1.5,1,8480.62,12.6149151,8.1109489
Ini,1.5,0,12927.25,5.4039717,7.7515186
Ipokia,1.5,0,11594.15,6.6435327,2.8114232
Irele,1.5,1,4388.0,6.4894071,4.8700171
Irepo,1.5,0,20000.0,9.0246081,3.8849516
Irepodun,3.0,0,1579.02,7.8954838,4.5222317
Irepodun/Ifelodun,1.5,0,20000.0,7.706224,5.2644602
Irewole,4.0,0,2177.21,7.4233538,4.2112928
Isa,1.5,1,650.77,13.202844,6.4057228
Ise/Orun,1.5,1,20000.0,7.4205606,5.384951
Iseyin,1.5,1,12943.56,7.9710106,3.5956141
Ishielu,1.5,1,1820.14,6.4270885,7.8441149
Isi-Uzo,1.5,0,19435.72,6.7418618,7.6809367
Isiala Mbano,1.5,0,3314.38,5.6846896,7.1963538
Isiala-Ngwa North,1.5,0,16206.65,5.2795472,7.4422931
Isiala-Ngwa South,1.5,0,9546.22,5.3855522,7.4163509
Isin,4.0,0,11266.59,8.2579064,5.0388491
Isiukwuato,1.5,1,2105.08,6.4519351,7.5047277
Isokan,4.0,0,7222.69,7.2917009,4.1970783
Isoko North,1.5,0,10476.68,5.5213421,6.1308705
Isoko South,1.5,1,1099.89,5.3895204,6.2110496
Isu,1.5,1,2861.24,5.6868983,7.0561313
Itas/Gadau,1.5,1,4504.14,11.877064,10.0445349
Itesiwaju,1.5,0,20000.0,8.2107134,3.5481983
Itu,1.5,0,6440.17,5.1451749,8.0032914
Ivo,1.5,1,11388.43,5.9093492,7.637395
Iwajowa,1.5,0,20000.0,7.9901335,2.9887347
Iwo,1.5,1,4645.81,7.633333,4.183333
Izzi,1.5,0,6134.38,6.5523757,8.2718631
Jaba,1.5,1,5772.39,9.4747461,8.0124917
Jada,1.5,0,3778.7,8.6964628,12.3215818
Jahun,1.5,1,16038.68,12.0753808,9.6257925
Jakusko,1.5,1,20000.0,12.3691,10.7744631
Jalingo,1.5,1,1066.57,8.894985,11.360042
Jama'are,1.5,1,4831.47,11.6515401,9.8885184
Jega,1.5,1,10428.24,12.1012026,4.4659199
Jema'a,1.5,1,2657.69,9.4136358,8.2529284
Jere,1.5,0,4765.33,11.9360745,13.1816703
Jibia,1.5,1,1178.71,12.9826952,7.467752
Jos East,1.5,0,12147.93,9.872746,9.1340164
Jos North,1.5,1,354.97,9.9421959,8.8929852
Jos South,1.5,0,4588.1,9.7587528,8.8487805
Kabba/Bunu,10.0,0,20000.0,8.0700982,6.1414186
Kabo,1.5,1,9111.83,11.8914633,8.2006285
Kachia,1.5,1,10441.01,9.8570726,7.6885857
Kaduna North,1.5,0,2391.71,10.5561853,7.4527471
Kafin Hausa,1.5,1,13100.99,12.1643718,9.9873569
Kafur,1.5,1,3144.68,11.632705,7.6975486
Kaga,1.5,1,20000.0,11.6008803,12.5301876
Kagarko,2.0,1,7595.08,9.4903756,7.5743264
Kaiama,15.0,0,20000.0,9.5360179,4.1148138
Kaita,1.5,1,7944.39,13.1799187,7.7922704
Kajola,1.5,1,14166.44,8.0285326,3.3585943
Kajuru,3.0,1,7834.61,10.2550515,7.7714939
Kala/Balge,1.5,1,197.79,11.906762,14.4562539
Kalgo,1.5,0,3766.03,12.3898376,4.0431789
Kaltungo,1.5,0,2126.29,9.8269458,11.4361064
Kanam,3.0,0,12543.39,9.491138,10.1545302
Kankara,1.5,1,8098.34,11.9720225,7.3609374
Kanke,1.5,0,7580.87,9.3671789,9.6393549
Kankia,1.5,1,12580.0,12.4289363,7.7953999
Karasuwa,1.5,1,20000.0,13.0000596,10.6717985
Karaye,1.5,1,2342.31,11.7608489,7.9788017
Karim-Lamido,1.5,0,16481.32,9.1473131,10.8580208
Karu,1.5,1,165.9,8.995008,7.7512256
Katagum,1.5,1,20000.0,11.6557329,10.3503719
Katcha,5.0,1,438.52,8.7617343,6.311747
Katsina,1.5,1,5862.73,12.5630825,7.6207063
Katsina-Ala,1.5,0,2114.64,7.313762,9.5660977
Kaugama,1.5,1,20000.0,12.5509256,9.7591978
Kaura,1.5,1,706.2,9.6424163,8.4516188
Kaura Namoda,1.5,1,6332.33,12.4773306,6.5716659
Kauru,1.5,1,9296.04,10.3557989,8.1828454
Kazaure,1.5,1,16162.1,12.6649357,8.4352429
Keana,1.5,0,1248.19,8.1726904,8.7560264
Kebbe,1.5,0,15469.84,11.8863543,4.7436167
Keffi,1.5,1,1231.64,8.8453176,7.876834
Khana,1.5,0,486.07,4.6693695,7.4375406
Kibiya,1.5,1,12871.1,11.4926881,8.6969015
Kirfi,2.0,1,11369.83,10.4393765,10.5360929
Kiri Kasamma,1.5,0,7942.35,12.6932,10.2551
Kiru,1.5,0,2834.4,11.5568483,8.0989509
Kiyawa,1.5,0,11740.76,11.7964786,9.5194975
Kogi,1.5,1,880.0,7.7949602,6.6868669
Koko/Besse,1.5,1,6431.2,11.4355339,4.4793871
Kokona,1.5,0,13897.98,8.8461237,8.0833607
Kolokuma/Opokuma,1.5,0,1481.61,5.0663759,6.2461084
Konduga,1.5,0,13971.36,11.6327538,13.1840692
Konshisha,1.5,1,3125.59,7.1204698,8.6180473
Kontagora,1.5,1,1269.43,10.399893,5.4694905
Kosofe,1.5,1,1007.77,6.581974,3.4148359
Kubau,1.5,1,486.77,10.8121332,8.3609171
Kudan,1.5,1,4110.32,11.2638864,7.7175626
Kuje,3.0,0,20000.0,8.6984415,7.3004993
Kukawa,1.5,1,20000.0,13.1239109,13.7775223
Kumbotso,1.5,1,5791.9,11.9174554,8.5198363
Kunchi,1.5,1,3493.31,12.4684379,8.2590837
Kura,1.5,1,3825.61,11.7791433,8.4743857
Kurfi,1.5,1,3792.32,12.6891921,7.4606759
Kurmi,4.0,0,2921.17,7.2643352,10.7014076
Kusada,1.5,0,2664.61,12.4618432,7.9485737
Kwali,1.5,1,10161.94,8.8205774,7.037166
Kwami,1.5,0,7621.91,10.4918757,11.2274196
Kwande,1.5,0,203.72,6.8549397,9.3998035
Kware,1.5,0,2069.17,13.1554579,5.2931233
Kwaya Kusar,1.5,1,1177.41,10.4857449,11.8543195
Lafia,1.5,1,5052.02,8.4960459,8.5147636
Lagelu,7.0,0,7469.94,7.5116973,4.0789034
Lagos Mainland,1.5,1,232.14,6.4932779,3.3883546
Lamurde,1.5,0,1203.46,9.6072357,11.7930477
Langtang North,1.5,0,628.12,9.0494609,9.8187243
Langtang South,1.5,0,14805.4,8.5842962,9.8329948
Lapai,1.5,0,591.12,8.781127,6.6753811
Lau,1.5,0,702.18,9.1939002,11.4630191
Lavun,1.5,0,20000.0,9.3823776,5.6366923
Lere,7.0,0,2293.91,10.3617512,8.5723993
Logo,1.5,0,8643.38,7.6671713,9.2074676
Lokoja,1.5,1,1131.43,7.802355,6.7430327
Machina,1.5,1,20000.0,13.0342994,10.0474618
Madagali,1.5,0,3197.02,10.786603,13.4885513
Madobi,1.5,0,4029.24,11.8179194,8.3432693
Mafa,1.5,1,5331.62,11.9239025,13.6002436
Magama,1.5,0,2338.37,10.2990765,5.0610888
Magumeri,1.5,1,20000.0,12.1432355,12.6629372
Mai'adua,1.5,1,12535.26,13.161061,8.2129682
Maiduguri,1.5,1,1011.5,11.8395375,13.1536214
Maigatari,1.5,1,20000.0,12.6935744,9.6103451
Maiha,1.5,0,6725.55,9.8562705,13.1576397
Maiyama,1.5,1,4971.33,12.0068976,4.2962992
Makoda,1.5,1,15327.8,12.4269267,8.4312888
Makurdi,1.5,1,1070.26,7.7312634,8.538425
Malam Madori,1.5,1,14807.46,12.5297795,9.8959769
Malumfashi,1.5,1,8627.39,11.8663485,7.8091868
Mangu,1.5,0,3003.85,9.3622294,9.1816302
Mani,1.5,1,10205.83,12.9074412,7.9331795
Maradun,1.5,1,8811.56,12.7162901,6.3270017
Mariga,1.5,0,150.97,10.6073683,5.8670483
Marte,1.5,0,8828.52,12.4029201,13.8326386
Maru,1.5,1,16764.75,11.636483,6.3200966
Mashegu,1.5,0,20000.0,9.8155046,5.2392304
Mashi,1.5,1,14196.43,13.1318643,8.0128383
Matazu,1.5,1,18994.27,12.2380556,7.6587901
Mayo-Belwa,1.5,0,2686.86,8.871243,12.0202268
Mbaitoli,1.5,1,4011.22,5.5935474,7.0191523
Mbo,1.5,1,1704.11,4.6506469,8.2493976
Michika,1.5,0,1992.89,10.577505,13.4045579
Miga,1.5,0,2606.83,12.235652,9.6980272
Mikang,1.5,0,2877.78,9.0122647,9.5544813
Minjibir,1.5,1,7276.98,12.1936318,8.6142193
